DATEADDED,Daily Average Tone
20160620,-752.8485639686684
20160621,-627.990171990172
20160622,-465.2776119402985
20160623,-678.8655256723716
20160624,-568.1636363636363
20160625,-202.89655172413794
20160626,-155.3551401869159
20160627,-158.0547263681592
20160628,-422.0464135021097
20160629,-590.078947368421
20160630,-337.95081967213116
20160701,-492.76485148514854
20160702,-148.90575916230367
20160703,-594.600790513834
20160704,-750.9843260188088
20160705,-520.0246478873239
20160706,-358.01214574898785
20160707,-1026.9026548672566
20160708,-832.9546279491833
20160709,-538.3674911660777
20160710,-303.255905511811
20160711,-1938.1
20160712,-1634.5123966942149
20160713,-1076.9944827586207
20160714,-1094.1803751803752
20160715,-552.2
20160716,-405.0033222591362
20160717,-241.05369127516778
20160718,-1000.2560975609756
20160719,-826.1484230055659
20160720,-525.2831632653061
20160721,-660.7368421052631
20160722,-699.029484029484
20160723,-505.8078431372549
20160724,-347.0316742081448
20160725,-565.722972972973
20160726,-404.3893805309734
20160727,-479.5168195718654
20160728,-731.2765957446809
20160729,-446.99609375
20160730,-300.3315789473684
20160731,-230.42201834862385
20160801,-393.4162679425837
20160802,-479.3702422145329
20160803,-687.4529058116233
20160804,-633.22102425876
20160805,-445.4747191011236
20160806,-346.7977528089888
20160807,-236.9770992366412
20160808,-461.5340501792115
20160809,-477.21961620469085
20160810,-234.22292993630575
20160811,-220.71484375
20160812,-338.6391184573003
20160813,-234.61611374407582
20160814,-227.41739130434783
20160815,-203.7682119205298
20160816,-350.9818181818182
20160817,-464.54891304347825
20160818,-435.0516795865633
20160819,-262.1952662721894
20160820,-178.5157894736842
20160821,-172.0728476821192
20160822,-131.29468599033817
20160823,-310.3636363636364
20160824,-442.2522522522523
20160825,-1059.2176991150443
20160826,-436.2314285714286
20160827,-185.2792207792208
20160828,-281.8201058201058
20160829,-509.25420560747665
20160830,-204.9125874125874
20160831,-581.7109207708779
20160901,-153.30074074074074
20160902,-342.98201438848923
20160903,-216.52296819787986
20160904,-210.57627118644066
20160905,-403.90845070422534
20160906,-346.64367816091954
20160907,-452.1833910034602
20160908,-851.0441501103753
20160909,-2458.9222873900294
20160910,-922.3901018922853
20160911,-313.4297520661157
20160912,-727.4547563805104
20160913,-1125.7864992150705
20160914,-849.9740484429066
20160915,-685.0227642276423
20160916,-516.9458762886597
20160917,-314.22522522522524
20160918,-232.16535433070865
20160919,-570.0940766550523
20160920,-539.1616915422885
20160921,-542.1081081081081
20160922,-525.4938271604939
20160923,-638.0934844192634
20160924,-203.59134615384616
20160925,-391.2877358490566
20160926,-546.5057803468208
20160927,-573.9949109414758
20160928,-497.9002624671916
20160929,-692.5331950207469
20160930,-578.747641509434
20161001,-372.64285714285717
20161002,-104.96460176991151
20161003,-312.59191176470586
20161004,-680.4129930394431
20161005,-771.2552631578948
20161006,-581.4631578947368
20161007,-190.49110320284697
20161008,-102.96478873239437
20161009,-317.47899159663865
20161010,-651.2621082621083
20161011,-385.8720682302772
20161012,-417.82342342342343
20161013,-639.0584415584416
20161014,-614.7621621621622
20161015,-438.28333333333336
20161016,-177.22033898305085
20161017,-237.37727272727273
20161018,-314.9384236453202
20161019,-233.4170616113744
20161020,-281.9758064516129
20161021,-196.69097222222223
20161022,-481.2614555256065
20161023,-209.58666666666667
20161024,-451.38658146964855
20161025,-666.7647058823529
20161026,-511.4531722054381
20161027,-384.0563909774436
20161028,-511.76899696048633
20161029,-301.463768115942
20161030,-245.34177215189874
20161031,-1050.6537753222835
20161101,-692.0862422997947
20161102,-346.79754601226995
20161103,-313.26937269372695
20161104,-630.0677966101695
20161105,-562.8317757009346
20161106,-489.7680412371134
20161107,-1099.138592750533
20161108,-882.6383442265795
20161109,-715.6408839779006
20161110,-404.5498392282958
20161111,-467.59831460674155
20161112,-535.8187311178248
20161113,-290.55367231638417
20161114,-601.6088082901555
20161115,-928.2486085343228
20161116,-708.6386861313869
20161117,-1540.376179245283
20161118,-834.3385146804836
20161119,-320.14814814814815
20161120,-507.6377708978328
20161121,-449.9342359767892
20161122,-723.5051975051975
20161123,-770.899841017488
20161124,-357.54545454545456
20161125,-327.4507042253521
20161126,-165.84172661870502
20161127,-150.4855072463768
20161128,-470.1084745762712
20161129,-1039.85
20161130,-281.33009708737865
20161201,-467.0748502994012
20161202,-682.8526315789474
20161203,-320.3519313304721
20161204,-324.8493150684931
20161205,-392.80645161290323
20161206,-766.5452322738387
20161207,-652.4540389972145
20161208,-625.2789473684211
20161209,-455.76485788113695
20161210,-252.56744186046512
20161211,-327.7004048582996
20161212,-668.343949044586
20161213,-675.0388601036269
20161214,-112.16711590296497
20161215,-489.10913705583755
20161216,-666.082191780822
20161217,-330.7484662576687
20161218,-446.8247863247863
20161219,-677.9328859060403
20161220,-949.2572016460905
20161221,-840.5728744939271
20161222,-513.7288629737609
20161223,-306.8313253012048
20161224,-290.95348837209303
20161225,-176.9896373056995
20161226,-155.34677419354838
20161227,-450.62549800796813
20161228,-599.4786096256685
20161229,-296.89592760180994
20161230,-288.60103626943004
20161231,-313.1166666666667
20170101,-91.375
20170102,-426.1294642857143
20170103,-220.9944903581267
20170104,-386.50592885375494
20170105,-1754.3773885350317
20170106,-1998.317610062893
20170107,-1089.4059405940593
20170108,-304.18382352941177
20170109,-474.5854545454545
20170110,-381.5144230769231
20170111,-663.7777777777778
20170112,-479.34263959390864
20170113,-670.9529411764706
20170114,-713.3414634146342
20170115,-573.8545454545455
20170116,-461.6051779935275
20170117,-475.95577395577396
20170118,-305.10897435897436
20170119,-737.8723776223776
20170120,-638.3747228381375
20170121,-79.67241379310344
20170122,-67.02142857142857
20170123,-582.5366666666666
20170124,-998.7960396039604
20170125,-614.2005420054201
20170126,-635.4470588235295
20170127,-880.1943793911007
20170128,-446.06233766233765
20170129,-284.53036437246965
20170130,-472.3653250773994
20170131,-370.8724137931035
20170201,-530.2209944751381
20170202,-535.9351669941061
20170203,-339.5850340136054
20170204,-126.8125
20170205,-156.2325581395349
20170206,-982.9115755627009
20170207,-1350.357686453577
20170208,-694.6447811447812
20170209,-588.8321995464853
20170210,-428.72906403940885
20170211,-654.6243902439024
20170212,-55.38461538461539
20170213,-256.7559523809524
20170214,-459.6284584980237
20170215,-538.8256578947369
20170216,-937.458
20170217,-855.0761589403974
20170218,-262.04566210045664
20170219,-396.2342857142857
20170220,-339.337899543379
20170221,-308.65714285714284
20170222,-392.0
20170223,-400.38392857142856
20170224,-347.9123376623377
20170225,-207.89247311827958
20170226,-163.63945578231292
20170227,-231.8716814159292
20170228,-242.65762711864406
20170301,-429.2181818181818
20170302,-170.37142857142857
20170303,-409.6655737704918
20170304,-198.1627906976744
20170305,-76.43243243243244
20170306,-283.36186770428014
20170307,-1023.3060836501901
20170308,-454.4379232505643
20170309,-493.82984293193715
20170310,-298.822695035461
20170311,-236.7037037037037
20170312,-236.19594594594594
20170313,-386.44
20170314,-605.4618834080718
20170315,-565.9601226993865
20170316,-668.6732456140351
20170317,-899.2988929889299
20170318,-466.08490566037733
20170319,-216.20645161290324
20170320,-417.54700854700855
20170321,-827.5211267605633
20170322,-908.9632
20170323,-705.9442724458204
20170324,-594.0085227272727
20170325,-294.93939393939394
20170326,-159.13084112149534
20170327,-797.6303317535545
20170328,-579.3370165745856
20170329,-925.9208443271768
20170330,-392.188
20170331,-148.6359649122807
20170401,-135.54347826086956
20170402,-1236.8435754189943
20170403,-1195.2137767220902
20170404,-940.5384615384615
20170405,-937.6389496717725
20170406,-621.7219730941704
20170407,-179.42937853107344
20170408,-211.46103896103895
20170409,-155.38947368421051
20170410,-269.5340314136126
20170411,-357.63436123348015
20170412,-395.0214592274678
20170413,-590.6266666666667
20170414,-613.9561403508771
20170415,-344.11976047904193
20170416,-423.6822916666667
20170417,-5053.091354723708
20170418,-5344.876081825334
20170419,-1897.6657433056325
20170420,-797.3715953307393
20170421,-344.43896103896105
20170422,-271.0982142857143
20170423,-330.9192825112108
20170424,-263.7299578059072
20170425,-896.4640883977901
20170426,-1852.7408759124087
20170427,-904.7800751879699
20170428,-633.695652173913
20170429,-564.3006535947712
20170430,-308.1904761904762
20170501,-275.4310344827586
20170502,-532.1282051282051
20170503,-502.54545454545456
20170504,-708.989898989899
20170505,-1042.5119305856833
20170506,-280.0120481927711
20170507,-238.71559633027522
20170508,-494.747572815534
20170509,-313.132
20170510,-455.5105105105105
20170511,-353.95454545454544
20170512,-702.4224924012158
20170513,-401.66477272727275
20170514,-238.51937984496124
20170515,-476.6258503401361
20170516,-1168.5328719723184
20170517,-640.0126903553299
20170518,-749.7719298245614
20170519,-709.1735537190083
20170520,-307.77927927927925
20170521,-220.16666666666666
20170522,-784.590027700831
20170523,-294.74444444444447
20170524,-354.7236842105263
20170525,-483.1154929577465
20170526,-535.2478873239437
20170527,-216.30769230769232
20170528,-154.5
20170529,-272.10185185185185
20170530,-620.9842271293376
20170531,-512.5461741424803
20170601,-519.7278106508876
20170602,-296.1577380952381
20170603,-391.9059405940594
20170604,-170.86324786324786
20170605,-700.4625
20170606,-394.80204778156997
20170607,-476.43283582089555
20170608,-354.32411067193675
20170609,-929.3788235294118
20170610,-403.6761363636364
20170611,-932.6521739130435
20170612,-1608.2531969309464
20170613,-777.5254691689008
20170614,-447.13917525773195
20170615,-630.6516129032258
20170616,-791.4271844660194
20170617,-424.4082840236686
20170618,-142.25423728813558
20170619,-571.2555205047319
20170620,-411.1068376068376
20170621,-416.8220338983051
20170622,-585.2764044943821
20170623,-617.8397565922921
20170624,-286.5263157894737
20170625,-257.6857142857143
20170626,-241.993006993007
20170627,-505.5967741935484
20170628,-670.7257281553398
20170629,-621.2372881355932
20170630,-463.14397905759165
20170701,-491.6666666666667
20170702,-103.42857142857143
20170703,-454.7437722419929
20170704,-432.2397003745318
20170705,-606.1454005934718
20170706,-527.25
20170707,-363.75792507204613
20170708,-297.1454545454545
20170709,-307.86301369863014
20170710,-263.54754098360655
20170711,-308.1544303797468
20170712,-395.4378881987578
20170713,-210.95238095238096
20170714,-664.9900497512438
20170715,-282.3582887700535
20170716,-262.32
20170717,-516.2264957264957
20170718,-213.77118644067798
20170719,-463.6773504273504
20170720,-406.55056179775283
20170721,-371.52073732718895
20170722,-387.7155963302752
20170723,-37.13725490196079
20170724,-281.514450867052
20170725,-214.90540540540542
20170726,-355.34743202416917
20170727,-453.9652605459057
20170728,-378.5907590759076
20170729,-164.65740740740742
20170730,-269.9479166666667
20170731,-262.8351254480287
20170801,-525.2661498708011
20170802,-754.6595744680851
20170803,-428.18428184281845
20170804,-274.20081967213116
20170805,-152.14754098360655
20170806,-156.75384615384615
20170807,-199.33802816901408
20170808,-467.6918032786885
20170809,-593.1
20170810,-281.77777777777777
20170811,-272.69955156950675
20170812,-274.0689655172414
20170813,-105.84466019417475
20170814,-407.4052287581699
20170815,-832.7982456140351
20170816,-356.7686567164179
20170817,-705.3175487465181
20170818,-633.469387755102
20170819,-369.2111111111111
20170820,-95.96428571428571
20170821,-221.69444444444446
20170822,-322.14220183486236
20170823,-374.4670658682635
20170824,-387.28057553956836
20170825,-342.6887159533074
20170826,-182.00763358778627
20170827,-163.1012658227848
20170828,-142.01538461538462
20170829,-114.35443037974683
20170830,-354.3333333333333
20170831,-445.89956331877727
20170901,-228.5
20170902,-130.71929824561403
20170903,-276.3973509933775
20170904,-424.76795580110496
20170905,-534.676724137931
20170906,-463.271954674221
20170907,-927.7637681159421
20170908,-809.2895752895753
20170909,-112.72477064220183
20170910,-609.4758620689655
20170911,-539.2367346938776
20170912,-423.06666666666666
20170913,-633.2581344902386
20170914,-597.6676829268292
20170915,-179.46682464454977
20170916,-271.7421686746988
20170917,-305.24908424908426
20170918,-591.0902934537246
20170919,-326.9793510324484
20170920,-855.2162162162163
20170921,-944.4724292101341
20170922,-752.1449115044247
20170923,-305.0997150997151
20170924,-153.68382352941177
20170925,-526.0657084188912
20170926,-509.5800711743772
20170927,-822.2202643171806
20170928,-1099.0058548009367
20170929,-599.8340425531915
20170930,-405.05732484076435
20171001,-177.49180327868854
20171002,-520.7979452054794
20171003,-923.296803652968
20171004,-735.0771929824562
20171005,-589.9130434782609
20171006,-109.03249097472924
20171007,-279.5042016806723
20171008,-108.52247191011236
20171009,-319.90972222222223
20171010,-440.1139601139601
20171011,-739.6220588235294
20171012,-865.1843515541265
20171013,-443.6489151873767
20171014,-217.81415929203538
20171015,-126.7457627118644
20171016,-228.35470085470087
20171017,-143.7037037037037
20171018,-313.36842105263156
20171019,-307.10336538461536
20171020,-106.73770491803279
20171021,-198.58227848101265
20171022,-353.3362445414847
20171023,-572.2947976878613
20171024,-775.7526690391459
20171025,-384.20111731843576
20171026,-224.41489361702128
20171027,-201.4398907103825
20171028,-292.8320610687023
20171029,-83.91089108910892
20171030,-298.56666666666666
20171031,-848.3054054054054
20171101,-1401.3570336391438
20171102,-1024.0184108527133
20171103,-627.0802348336595
20171104,-265.0854271356784
20171105,-179.36283185840708
20171106,-276.236276849642
20171107,-321.4519230769231
20171108,-388.5377049180328
20171109,-336.98268398268397
20171110,-303.79351032448375
20171111,-558.1666666666666
20171112,-187.79090909090908
20171113,-666.7643097643098
20171114,-541.462441314554
20171115,-483.6186186186186
20171116,-214.61049723756906
20171117,-305.2527777777778
20171118,-238.36923076923077
20171119,-294.01673640167365
20171120,-228.176
20171121,-145.03791469194312
20171122,-230.55591054313098
20171123,-124.71818181818182
20171124,-111.7378640776699
20171125,-139.91329479768785
20171126,-164.64661654135338
20171127,-162.70646766169153
20171128,-200.91397849462365
20171129,-425.6368286445013
20171130,-381.36893203883494
20171201,-542.2685512367491
20171202,-136.2
20171203,-101.66666666666667
20171204,-201.62765957446808
20171205,-271.8825136612022
20171206,-160.4921875
20171207,-276.4951923076923
20171208,-265.8176100628931
20171209,-267.5188679245283
20171210,-75.09375
20171211,-292.23118279569894
20171212,-740.9261363636364
20171213,-1008.111320754717
20171214,-488.53689567430024
20171215,-556.006968641115
20171216,-18.49624060150376
20171217,-24.85185185185185
20171218,-420.73333333333335
20171219,-584.1564245810056
20171220,-660.728813559322
20171221,-424.7386363636364
20171222,-383.03968253968253
20171223,-184.62244897959184
20171224,-133.49333333333334
20171225,-234.0632911392405
20171226,-156.46428571428572
20171227,-194.27083333333334
20171228,-246.1193181818182
20171229,-475.6241379310345
20171230,-178.56451612903226
20171231,-371.14193548387095
20180101,-168.46808510638297
20180102,-414.73933649289097
20180103,-393.11162790697676
20180104,-656.44
20180105,-650.6612377850163
20180106,-284.74418604651163
20180107,-166.5050505050505
20180108,-228.19354838709677
20180109,-222.9558823529412
20180110,-236.25
20180111,-897.0626959247649
20180112,-698.5345699831366
20180113,-293.6301775147929
20180114,-84.77272727272727
20180115,-198.02962962962962
20180116,-443.62706270627064
20180117,-429.8
20180118,-683.9350180505415
20180119,-684.1030444964871
20180120,-170.5210355987055
20180121,-219.376
20180122,-113.22243713733076
20180123,-444.4618556701031
20180124,-325.75280898876406
20180125,-316.5817694369973
20180126,-90.25129982668977
20180127,-200.0887573964497
20180128,-87.13740458015268
20180129,-120.57142857142857
20180130,-392.24362606232296
20180131,-346.59285714285716
20180201,-370.80441640378547
20180202,-337.65625
20180203,-189.64285714285714
20180204,-95.38157894736842
20180205,-303.6457680250784
20180206,-464.0763157894737
20180207,-323.91884057971015
20180208,-465.0943396226415
20180209,-524.1
